STATcube,,,,
,,,,
Age-standardized death rate in Austria by calendar week (excl. abroad) from 2000 (Q),,,,
"Calendar week by Province (NUTS 2 unit) of deceased, Gender of deceased and Values",,,,
"Counting: Number of deaths, Age-standardized death rate in parts per thousand",,,,
,,,,
Province (NUTS 2 unit) of deceased,Austria,,,
Gender of deceased,total,,,
Values,Number of deaths,Number of deaths - Annotations,Age-standardized death rate in parts per thousand,Age-standardized death rate in parts per thousand - Annotations
Calendar week,,,,
31. Calendar week 2017 (week from 31.7.2017 to 6.8.2017),1616,,0.188,
32. Calendar week 2017 (week from 7.8.2017 to 13.8.2017),1334,,0.154,
33. Calendar week 2017 (week from 14.8.2017 to 20.8.2017),1380,,0.16,
34. Calendar week 2017 (week from 21.8.2017 to 27.8.2017),1472,,0.171,
35. Calendar week 2017 (week from 28.8.2017 to 3.9.2017),1329,,0.153,
36. Calendar week 2017 (week from 4.9.2017 to 10.9.2017),1318,,0.153,
37. Calendar week 2017 (week from 11.9.2017 to 17.9.2017),1426,,0.166,
38. Calendar week 2017 (week from 18.9.2017 to 24.9.2017),1407,,0.163,
39. Calendar week 2017 (week from 25.9.2017 to 1.10.2017),1496,,0.173,
40. Calendar week 2017 (week from 2.10.2017 to 8.10.2017),1481,,0.172,
41. Calendar week 2017 (week from 9.10.2017 to 15.10.2017),1529,,0.178,
42. Calendar week 2017 (week from 16.10.2017 to 22.10.2017),1453,,0.169,
43. Calendar week 2017 (week from 23.10.2017 to 29.10.2017),1489,,0.172,
44. Calendar week 2017 (week from 30.10.2017 to 5.11.2017),1551,,0.18,
45. Calendar week 2017 (week from 6.11.2017 to 12.11.2017),1490,,0.173,
46. Calendar week 2017 (week from 13.11.2017 to 19.11.2017),1505,,0.175,
47. Calendar week 2017 (week from 20.11.2017 to 26.11.2017),1570,,0.181,
48. Calendar week 2017 (week from 27.11.2017 to 3.12.2017),1531,,0.178,
49. Calendar week 2017 (week from 4.12.2017 to 10.12.2017),1632,,0.189,
50. Calendar week 2017 (week from 11.12.2017 to 17.12.2017),1554,,0.18,
51. Calendar week 2017 (week from 18.12.2017 to 24.12.2017),1653,,0.192,
52. Calendar week 2017 (week from 25.12.2017 to 31.12.2017),1646,,0.191,
