Date,Date_mod,deaths
2016M02D27,2016-02-27,156
2016M02D28,2016-02-28,194
2016M02D29,2016-02-29,150
2016M03D01,2016-03-01,163
2016M03D02,2016-03-02,162
2016M03D03,2016-03-03,162
2016M03D04,2016-03-04,169
2016M03D05,2016-03-05,171
2016M03D06,2016-03-06,166
2016M03D07,2016-03-07,168
2016M03D08,2016-03-08,174
2016M03D09,2016-03-09,142
2016M03D10,2016-03-10,172
2016M03D11,2016-03-11,163
2016M03D12,2016-03-12,172
2016M03D13,2016-03-13,158
2016M03D14,2016-03-14,192
2016M03D15,2016-03-15,147
2016M03D16,2016-03-16,163
2016M03D17,2016-03-17,141
2016M03D18,2016-03-18,168
2016M03D19,2016-03-19,171
2016M03D20,2016-03-20,177
2016M03D21,2016-03-21,169
2016M03D22,2016-03-22,171
2016M03D23,2016-03-23,154
2016M03D24,2016-03-24,154
2016M03D25,2016-03-25,145
2016M03D26,2016-03-26,139
2016M03D27,2016-03-27,142
2016M03D28,2016-03-28,171
2016M03D29,2016-03-29,158
2016M03D30,2016-03-30,150
2016M03D31,2016-03-31,160
2016M04D01,2016-04-01,150
2016M04D02,2016-04-02,158
2016M04D03,2016-04-03,137
2016M04D04,2016-04-04,146
2016M04D05,2016-04-05,144
2016M04D06,2016-04-06,153
2016M04D07,2016-04-07,143
2016M04D08,2016-04-08,149
2016M04D09,2016-04-09,145
2016M04D10,2016-04-10,143
2016M04D11,2016-04-11,150
2016M04D12,2016-04-12,137
2016M04D13,2016-04-13,147
2016M04D14,2016-04-14,154
2016M04D15,2016-04-15,160
2016M04D16,2016-04-16,164
2016M04D17,2016-04-17,159
2016M04D18,2016-04-18,136
2016M04D19,2016-04-19,142
2016M04D20,2016-04-20,132
2016M04D21,2016-04-21,159
2016M04D22,2016-04-22,150
2016M04D23,2016-04-23,143
2016M04D24,2016-04-24,148
2016M04D25,2016-04-25,146
2016M04D26,2016-04-26,146
2016M04D27,2016-04-27,126
2016M04D28,2016-04-28,160
2016M04D29,2016-04-29,132
2016M04D30,2016-04-30,150
2016M05D01,2016-05-01,125
2016M05D02,2016-05-02,149
2016M05D03,2016-05-03,136
2016M05D04,2016-05-04,146
2016M05D05,2016-05-05,137
2016M05D06,2016-05-06,160
2016M05D07,2016-05-07,149
2016M05D08,2016-05-08,165
2016M05D09,2016-05-09,127
2016M05D10,2016-05-10,163
2016M05D11,2016-05-11,165
2016M05D12,2016-05-12,144
2016M05D13,2016-05-13,136
2016M05D14,2016-05-14,154
2016M05D15,2016-05-15,134
2016M05D16,2016-05-16,115
2016M05D17,2016-05-17,128
2016M05D18,2016-05-18,149
2016M05D19,2016-05-19,136
2016M05D20,2016-05-20,137
2016M05D21,2016-05-21,130
2016M05D22,2016-05-22,140
2016M05D23,2016-05-23,149
2016M05D24,2016-05-24,130
2016M05D25,2016-05-25,145
2016M05D26,2016-05-26,140
2016M05D27,2016-05-27,153
2016M05D28,2016-05-28,137
2016M05D29,2016-05-29,121
2016M05D30,2016-05-30,144
2016M05D31,2016-05-31,128
2016M06D01,2016-06-01,137
2016M06D02,2016-06-02,150
2016M06D03,2016-06-03,131
2016M06D04,2016-06-04,141
2016M06D05,2016-06-05,122
2016M06D06,2016-06-06,143
2016M06D07,2016-06-07,134
2016M06D08,2016-06-08,129
2016M06D09,2016-06-09,116
2016M06D10,2016-06-10,118
2016M06D11,2016-06-11,128
2016M06D12,2016-06-12,145
2016M06D13,2016-06-13,146
2016M06D14,2016-06-14,131
2016M06D15,2016-06-15,135
2016M06D16,2016-06-16,122
2016M06D17,2016-06-17,145
2016M06D18,2016-06-18,117
2016M06D19,2016-06-19,124
2016M06D20,2016-06-20,127
2016M06D21,2016-06-21,139
2016M06D22,2016-06-22,157
2016M06D23,2016-06-23,130
2016M06D24,2016-06-24,158
